zip,lat,long,city,state,county
99017,47.17304,-117.830239,Lamont,WA,
99018,47.303815,-117.16884,Latah,WA,
99019,47.651672,-117.083808,Liberty Lake,WA,
99021,47.793268,-117.311716,Mead,WA,
99022,47.583696,-117.679351,Espanola,WA,
99023,47.553814,-117.163711,Mica,WA,
99025,47.727371,-117.064041,Newman Lake,WA,
99026,47.801945,-117.589359,Nine Mile Falls,WA,
99027,47.70273,-117.11209,Otis Orchards,WA,
99029,47.705407,-117.866264,Reardan,WA,
99030,47.452804,-117.131842,Rockford,WA,
99031,47.4338,-117.382696,Spangle,WA,
99032,47.324725,-117.989684,Sprague,WA,
99033,47.227081,-117.081919,Tekoa,WA,
99034,47.898173,-117.698996,Tumtum,WA,
99036,47.529176,-117.268601,Valleyford,WA,
99037,47.642103,-117.197706,Veradale,WA,
99039,47.335393,-117.233108,Waverly,WA,
99040,47.86974,-117.985646,Wellpinit,WA,
99101,48.44769,-117.892383,Addy,WA,
99103,47.763175,-118.91225,Almira,WA,
99105,46.867636,-117.969895,Benge,WA,
99107,48.691919,-118.19906,Boyds,WA,
99109,48.287585,-117.77539,Chewelah,WA,
99110,47.955206,-117.574021,Clayton,WA,
99111,46.879996,-117.366975,Colfax,WA,
99113,46.590098,-117.169243,Colton,WA,
99114,48.57799,-117.864463,Colville,WA,
99115,47.596571,-119.27582,Coulee City,WA,
